Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;1;VVD;stel gelijkluidende lijsten;ja;nl;80;van der;Weijden;M.;Maarten;m;Waspik;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;1;;Wilders;G.;Geert;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;2;;Agema;M.;Fleur;v;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;3;;Markuszower;G.;Gidi;m;Amsterdam;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;4;de;Jong;L.W.E.;Léon;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;5;;Maeijer;V.;Vicky;v;Krimpen aan den IJssel;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;6;;Kops;A.;Alexander;m;Overasselt;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;7;;Bosma;M.;Martin;m;Amsterdam;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;8;van;Dijck;A.P.C.;Tony;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;9;;Helder;L.M.J.S.;Lilian;v;Venlo;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;10;;Madlener;B.;Barry;m;Rockanje;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;11;;Fritsma;S.R.;Sietse;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;12;van;Weerdenburg;V.D.D.;Danai;v;Amstelveen;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;13;;Graus;D.J.G.;Dion;m;Heerlen;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;14;de;Graaf;M.;Machiel;m;'s-Gravenhage;NL
