,Lijstnummer,Aanduiding,Positie,Initialen,Roepnaam,Tussenvoegsels,Achternaam,Geslacht,Woonplaats,Stemmen,Verkiezing,Party_WD_id,Qid,Positie_Groningen,Positie_Fryslan,Positie_Drenthe,Positie_Overijssel,Positie_Flevoland,Positie_Nijmegen,Positie_Arnhem,Positie_Utrecht,Positie_Amsterdam,Positie_Haarlem,Positie_Den_Helder,Positie_Den_Haag,Positie_Rotterdam,Positie_Dordrecht,Positie_Leiden,Positie_Zeeland,Positie_Tilburg,Positie_Den_Bosch,Positie_Limburg,Positie_Caribisch_Nederland,Stemmen_Groningen,Stemmen_Fryslan,Stemmen_Drenthe,Stemmen_Overijssel,Stemmen_Flevoland,Stemmen_Nijmegen,Stemmen_Arnhem,Stemmen_Utrecht,Stemmen_Amsterdam,Stemmen_Haarlem,Stemmen_Den_Helder,Stemmen_Den_Haag,Stemmen_Rotterdam,Stemmen_Dordrecht,Stemmen_Leiden,Stemmen_Zeeland,Stemmen_Tilburg,Stemmen_Den_Bosch,Stemmen_Limburg,Stemmen_Caribisch_Nederland,Stemmen_Maastricht,Positie_Maastricht,Stemmen_Venlo,Positie_Venlo,Stemmen_s-Gravenhage,Positie_s-Gravenhage,Stemmen_s-Hertogenbosch,Positie_s-Hertogenbosch,Stemmen_Gelderland,Positie_Gelderland,Stemmen_Noord_Holland,Positie_Noord_Holland,Stemmen_Zuid_Holland,Positie_Zuid_Holland,Stemmen_Noord_Brabant,Positie_Noord_Brabant,Stemmen_Bonaire,Positie_Bonaire,Stemmen_Saba,Positie_Saba,Stemmen_Sint_Eustatius,Positie_Sint_Eustatius,Stemmen_Buitenland,Positie_Buitenland,Stemmen_Den Helder,Positie_Den Helder,Naam,url
1476,19.0,Nieuw Sociaal Contract,,I.C.,Ingrid,,Hartog,v,Krimpen aan den IJssel,,TK2023,,Q123176479,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingrid Hartog,https://verkiezingsarchief.nl/kandidaten/21c3kv/Ingrid_Hartog
1477,19.0,Nieuw Sociaal Contract,,R.H.J.,Ronald,van,Bruchem,m,Tiel,,TK2023,,Q123176480,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald van Bruchem,https://verkiezingsarchief.nl/kandidaten/21c3kw/Ronald_van_Bruchem
1478,19.0,Nieuw Sociaal Contract,,M.A.A.,Marcel,van de,Ven,m,Rotterdam,,TK2023,,Q123176481,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marcel van de Ven,https://verkiezingsarchief.nl/kandidaten/21c3kx/Marcel_van_de_Ven
1479,19.0,Nieuw Sociaal Contract,,E.D.E.,Esmée,de,Neijs,v,Utrecht,,TK2023,,Q123176482,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esmée de Neijs,https://verkiezingsarchief.nl/kandidaten/21c3ky/Esmée_de_Neijs
1480,19.0,Nieuw Sociaal Contract,,W.,Wahhab,,Hassoo,m,Amsterdam,,TK2023,,Q123176483,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wahhab Hassoo,https://verkiezingsarchief.nl/kandidaten/21c3kz/Wahhab_Hassoo
1481,19.0,Nieuw Sociaal Contract,,M.A.,Annemarie,,Graafland-van Duijn,v,Amsterdam,,TK2023,,Q123176484,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annemarie Graafland-van Duijn,https://verkiezingsarchief.nl/kandidaten/21c3l0/Annemarie_Graafland-van_Duijn
1482,19.0,Nieuw Sociaal Contract,,A.,Marinus,den,Hartogh,m,Wierden,,TK2023,,Q123176485,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marinus den Hartogh,https://verkiezingsarchief.nl/kandidaten/21c3l1/Marinus_den_Hartogh
1483,19.0,Nieuw Sociaal Contract,,R.,Rob,,Wessels,m,Zoetermeer,,TK2023,,Q28861184,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rob Wessels,https://verkiezingsarchief.nl/kandidaten/h6lfk/Rob_Wessels
1484,19.0,Nieuw Sociaal Contract,,S.,Simon,,Geleijnse,m,Rijswijk,,TK2023,,Q28861665,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simon Geleijnse,https://verkiezingsarchief.nl/kandidaten/h6lsx/Simon_Geleijnse
1485,20.0,Splinter,,F.M.,Femke Merel,van,Kooten-Arissen,v,Woerden,,TK2023,Q104638807,Q28860635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Femke Merel van Kooten-Arissen,https://verkiezingsarchief.nl/kandidaten/h6l0b/Femke_Merel_van_Kooten-Arissen
